#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-9094.962860898102	-9090.581951224993	-4.380909673109044	-9090.581951224993	1.6286681481296137	0.1	1.0299723740055136	0.0057277247897050965	0.07341513056298432	-5.200273818229846	1.0	0.5
1000	-5261.402446024692	-5260.3331637386145	-1.0692822860775948	-5260.3331637386145	0.6554105566906194	0.31111655879923866	1.2210342007916493	0.09072239523053756	0.28611904029945123	-0.8132877461241068	1.1759718116411715	0.8650818545602192
2000	-5257.292572438604	-5255.115881065811	-2.1766913727935697	-5255.115881065811	0.6201315897225401	0.5094843444193033	1.2464891736242008	0.1856821113890363	0.4522544551421592	-1.1741896805815157	3.567621068324065	0.528612739761757
3000	-5255.898586298545	-5255.61498787325	-0.2835984252941084	-5255.61498787325	0.7579292543781653	0.1610206632797233	1.0822321467117593	0.03290405750677365	0.1766288538790786	-0.7238634849953387	2.932245518953815	0.2606236694559104
4000	-5259.197818453408	-5258.679112556397	-0.5187058970115062	-5258.679112556397	1.0155310912967497	0.07109711549859657	0.9595299755688776	0.005152030208793455	0.0730299217137854	-1.570805077841006	1.9158197730375488	0.24018952364287033
5000	-5255.429256965789	-5254.618243111832	-0.8110138539564593	-5254.618243111832	0.975042129217926	0.12749468584252047	0.9755960549684893	0.004947748067747557	0.07174131703527192	-1.4465503040562608	1.417707760023782	0.3067917395436368
6000	-5260.321944673345	-5258.5802458637445	-1.7416988096000956	-5258.5802458637445	0.931275303385562	0.2693918459860421	0.8562118781159237	0.03831096645922899	0.2184872185027332	-1.6612577588660709	1.8285924250827905	0.1032898705583764
7000	-5258.308793570208	-5257.417875027066	-0.8909185431424175	-5257.417875027066	0.8737201111196107	0.1490535311322681	1.0139498459488805	0.013578643642752224	0.12142852412615207	-1.3980747749617648	1.1497279401238893	0.36144970378613883
8000	-5257.811138805876	-5256.614788337257	-1.1963504686193722	-5256.614788337257	0.8955663516475686	0.1995541129474785	0.9378231948916839	0.025195071959830596	0.16342942176098713	-1.4369361274452608	2.7814303037767907	0.21281374412472812
9000	-5258.087722485219	-5256.443852840066	-1.6438696451536108	-5256.443852840066	0.9568383665425002	0.16154564040605843	0.9923840249890398	0.017745353946382686	0.13292332242242622	-2.0812614546724593	2.9565531899416153	0.22191298010753477
10000	-5255.487075860725	-5255.808532581028	0.3214567203027787	-5255.808532581028	0.8850855966255451	0.039627226890698024	1.0112823698526148	9.486061576383881E-4	0.030346922463749385	-1.0821637064362646	1.9147663509401818	0.09633265285186662
11000	-5259.321580447865	-5258.809994272589	-0.5115861752752496	-5258.809994272589	0.9033343560218736	0.09866252410619797	0.9393920116103442	0.011200634724047996	0.11036159626882064	-1.3406517720373903	2.513610816375508	0.18639571242897787
12000	-5255.9172623726745	-5255.485041633239	-0.43222073943522143	-5255.485041633239	0.7636718782266592	0.192154109408861	1.1198854578792594	0.02466090513391911	0.14656874176510068	-0.7095806828408824	2.5275244858881147	0.09282677462277808
13000	-5256.350869434956	-5255.14587803647	-1.2049913984853005	-5255.14587803647	0.6617842783968145	0.43840763580503067	1.2619594331678017	0.2108259287926204	0.4014671661676951	-0.4577781963714287	3.7102771653376023	0.038723202452670795
14000	-5254.5659710417885	-5253.952924830302	-0.6130462114865114	-5253.952924830302	0.7303978967688479	0.23769772515100376	1.1884024320075726	0.06398418808158728	0.2382322828340632	-0.6732227640175705	3.00094132084409	0.054613343760904966
