Sample	posterior	ESS(posterior)	likelihood	prior
0	-8471.617943667903	N	-8460.360975817921	-11.256967849981423
1000	-5299.754173703324	2.0	-5291.724305094011	-8.029868609313612
2000	-5301.0721202434415	3.0	-5291.293058875009	-9.779061368432401
3000	-5288.724426001775	4.0	-5283.618232693487	-5.106193308288611
4000	-5288.182752071918	5.0	-5281.402143356442	-6.780608715475701
5000	-5285.703528163566	6.0	-5282.678960647094	-3.0245675164725423
6000	-5287.86238992518	7.0	-5282.905085475776	-4.957304449403722
7000	-5288.1318981136665	8.0	-5282.284137998398	-5.847760115268495
8000	-5288.701377749145	9.0	-5283.807038161638	-4.894339587507079
9000	-5287.423458467441	4.3	-5281.559628303574	-5.863830163867189
10000	-5282.51406081971	4.9	-5278.3472240066585	-4.166836813051155
11000	-5262.588127573324	6.3	-5257.337300767169	-5.250826806154433
12000	-5261.472580414675	4.9	-5258.594793715285	-2.877786699389709
13000	-5262.129047057627	4.0	-5258.407524015532	-3.7215230420955305
14000	-5261.593390801687	3.5	-5259.951163347492	-1.6422274541944915
15000	-5261.357700680202	3.0	-5260.463519972124	-0.8941807080777728
16000	-5258.927865608703	2.9	-5259.296843129667	0.36897752096418923
17000	-5261.671508535174	2.7	-5259.382125654291	-2.289382880883628
18000	-5257.840378357428	2.6	-5257.031164690051	-0.8092136673769241
19000	-5259.354573668078	2.5	-5257.640287159765	-1.7142865083133159
20000	-5261.669641679775	2.5	-5256.958339721517	-4.711301958257415
21000	-5261.526465462015	2.6	-5258.41132835954	-3.11513710247566
22000	-5263.157242422505	2.6	-5259.599814017195	-3.557428405310075
23000	-5263.672761653027	2.7	-5261.064173996879	-2.608587656148301
24000	-5268.478380416671	2.8	-5262.96241800738	-5.515962409291181
25000	-5262.322527438482	2.9	-5259.4441492563255	-2.878378182156224
26000	-5261.956486919169	3.0	-5258.465800200257	-3.490686718912296
27000	-5266.9061031909505	3.1	-5262.112675896019	-4.793427294931625
28000	-5261.223449765999	3.2	-5256.685986698527	-4.537463067472748
29000	-5261.0057547733895	3.5	-5256.477121815048	-4.528632958341179
30000	-5259.730377438422	3.6	-5255.706800743978	-4.023576694443016
31000	-5266.9352773310375	3.8	-5263.069498525271	-3.865778805766573
32000	-5261.680735119075	3.9	-5257.350711154669	-4.330023964406209
33000	-5263.03053741481	4.0	-5258.466365020355	-4.564172394455449
34000	-5262.8426891957415	4.1	-5257.790478135359	-5.052211060382317
35000	-5261.778312417257	4.3	-5255.704104023355	-6.074208393902097
36000	-5261.370860008239	4.4	-5256.11735419789	-5.253505810349631
37000	-5267.220834714759	4.5	-5262.289289834949	-4.931544879809475
38000	-5258.782370016555	4.7	-5255.593439623743	-3.1889303928125114
39000	-5259.830961676981	5.3	-5256.808139001943	-3.0228226750375455
40000	-5259.498341462064	5.5	-5255.630682288388	-3.8676591736761012
41000	-5261.711542318788	5.6	-5259.344901706576	-2.3666406122123105
42000	-5258.582207137771	5.8	-5256.587715208598	-1.9944919291726806
43000	-5261.17503108066	5.9	-5258.192349726538	-2.982681354122036
44000	-5262.1693425575395	6.0	-5259.004275229489	-3.165067328050127
45000	-5262.69092760213	6.1	-5255.3054190891235	-7.385508513005863
46000	-5257.722658026839	6.3	-5255.445929801232	-2.2767282256076005
47000	-5260.527799734147	6.4	-5257.662970755437	-2.86482897871105
48000	-5258.409897399869	6.6	-5256.59211586474	-1.8177815351288018
49000	-5256.786281947489	7.8	-5255.363628540595	-1.4226534068949186
50000	-5261.099853571819	7.9	-5259.299673570361	-1.8001800014581035
51000	-5261.335993190973	8.0	-5257.9732242359405	-3.3627689550323763
52000	-5260.949968391281	8.2	-5256.265589659495	-4.684378731785565
53000	-5262.235373337497	8.3	-5257.884287690352	-4.351085647144909
54000	-5260.722981802631	8.5	-5256.9514617953655	-3.771520007265664
55000	-5260.1522142571575	8.6	-5255.188445750376	-4.963768506781618
56000	-5260.200207874401	8.8	-5255.061293729783	-5.138914144617743
57000	-5258.891519849968	9.0	-5253.468093075557	-5.42342677441125
58000	-5266.258550850296	9.2	-5258.3553406781375	-7.903210172158853
59000	-5261.752898800686	10.9	-5253.819996901813	-7.932901898872887
60000	-5263.598453344644	11.1	-5253.729203466095	-9.86924987854986
61000	-5264.291319810744	11.3	-5257.745616562891	-6.545703247853395
62000	-5262.81241196984	11.5	-5256.356621624439	-6.455790345400959
63000	-5263.774179868385	11.8	-5257.034803192316	-6.739376676069065
64000	-5261.906160727679	12.0	-5256.465332679412	-5.440828048266334
65000	-5263.217188008592	12.2	-5258.9362372201895	-4.280950788401823
66000	-5260.680192601558	12.4	-5257.095952408286	-3.5842401932715866
67000	-5260.930651475779	12.7	-5256.866399066519	-4.0642524092603844
68000	-5261.026824919423	12.9	-5256.837769132432	-4.189055786990935
69000	-5260.939320537927	16.1	-5257.735426983366	-3.203893554561626
70000	-5260.173817497375	16.3	-5257.769249756411	-2.40456774096443
71000	-5257.485220096388	16.6	-5255.402292683638	-2.082927412750235
72000	-5263.316462435837	16.9	-5259.320383659623	-3.9960787762136443
73000	-5259.618307390173	17.1	-5256.618115630566	-3.000191759606933
74000	-5259.542479015554	17.3	-5256.684796212975	-2.8576828025788794
75000	-5263.568716469645	17.6	-5259.3809552749	-4.187761194744357
76000	-5265.119495116655	17.9	-5259.627363502147	-5.492131614508358
77000	-5261.893402952692	18.2	-5257.455809717063	-4.437593235629145
78000	-5264.834593081189	18.5	-5261.254578562661	-3.5800145185282224
79000	-5260.386591358617	24.4	-5258.897406852699	-1.489184505918201
80000	-5259.173914402584	24.9	-5256.630531069893	-2.5433833326915876
81000	-5260.09743492716	25.3	-5256.806755748286	-3.2906791788735337
82000	-5263.790658351255	25.7	-5260.205316606223	-3.585341745031542
83000	-5260.813487034991	26.0	-5255.991728713905	-4.821758321085845
84000	-5261.154539791412	26.3	-5256.871003924072	-4.283535867340499
85000	-5261.66523771305	26.7	-5257.19365120443	-4.471586508620288
86000	-5262.251038253881	27.0	-5257.228431968411	-5.022606285469754
87000	-5266.7540717247375	27.6	-5261.61660327865	-5.137468446087575
88000	-5262.555789337321	27.9	-5259.678743819302	-2.8770455180179932
89000	-5262.047353089394	38.7	-5258.997368902181	-3.0499841872130795
90000	-5261.155335942371	39.4	-5259.730277350162	-1.425058592208487
91000	-5258.9284589765275	40.6	-5257.104673179413	-1.8237857971141551
92000	-5261.2171110634	41.0	-5258.85723308367	-2.3598779797307174
93000	-5263.280453827157	41.6	-5259.6132282326635	-3.6672255944927565
94000	-5260.028623336682	42.0	-5256.771341031869	-3.2572823048131436
95000	-5262.643866105048	42.6	-5257.8013627334485	-4.842503371599692
96000	-5266.138988119971	43.3	-5263.8564698700975	-2.282518249873754
97000	-5262.898629601107	43.7	-5259.483961732474	-3.414667868633169
98000	-5261.760445517639	44.2	-5258.736757937666	-3.023687579973264
99000	-5262.023648796295	59.4	-5258.203938331611	-3.8197104646832414
100000	-5258.879007159303	62.0	-5255.228359666051	-3.6506474932523605
101000	-5257.63596450003	62.6	-5253.221510775819	-4.414453724210954
102000	-5261.88925513627	63.3	-5255.710813727388	-6.17844140888158
103000	-5261.586788740188	63.8	-5257.804993260044	-3.7817954801435474
104000	-5257.104743044584	61.9	-5254.627111941229	-2.477631103355889
105000	-5259.272577922744	60.8	-5255.63396852671	-3.638609396033591
106000	-5262.202524872081	61.7	-5257.468070300849	-4.73445457123232
107000	-5258.212269844827	60.7	-5256.212682478111	-1.9995873667160744
108000	-5262.643581238089	62.1	-5259.7015158572685	-2.942065380820324
109000	-5258.016083300004	49.2	-5255.702514698143	-2.313568601860413
110000	-5262.9421009501475	50.5	-5259.119924116778	-3.822176833369433
111000	-5261.440622640658	51.0	-5257.612425159604	-3.828197481054751
112000	-5261.627466062188	51.5	-5256.959665870978	-4.667800191210243
113000	-5258.596018951843	51.8	-5253.82009610329	-4.77592284855314
114000	-5260.597128566759	52.2	-5259.435369023385	-1.1617595433745325
115000	-5259.543182964903	52.1	-5256.841099888096	-2.702083076806657
116000	-5258.577983255634	51.5	-5255.95351794679	-2.624465308843462
117000	-5261.809353543681	52.3	-5260.28058051193	-1.5287730317513049
118000	-5256.793561655165	51.5	-5256.574839431521	-0.2187222236444244
119000	-5256.895348168095	49.0	-5255.55669816192	-1.338650006173994
120000	-5261.012179681611	49.2	-5258.755670456947	-2.2565092246639233
121000	-5256.874942454552	47.5	-5255.95708926099	-0.9178531935618293
122000	-5255.985965220747	44.5	-5256.3241084780575	0.33814325731022077
123000	-5259.297696809656	35.4	-5257.497413824116	-1.8002829855403668
124000	-5254.692060609798	31.7	-5256.023676756577	1.3316161467782273
125000	-5257.407966302415	29.4	-5257.243258743392	-0.16470755902275336
126000	-5256.118349088545	26.3	-5256.422669587111	0.30432049856648025
127000	-5257.185034719336	24.1	-5255.3582138911415	-1.8268208281945322
128000	-5256.32555423456	22.1	-5258.059387808867	1.7338335743066962
