Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-9029.679197907259	-9036.93648132804	N	-9029.679197907259	-7.257283420782343
1	-7719.44554564205	-7723.793798707447	2.0	-7719.44554564205	-4.348253065396913
2	-7649.433421437587	-7650.333961728106	3.0	-7649.433421437587	-0.9005402905197903
3	-6340.2663253739765	-6349.416039263904	4.0	-6340.2663253739765	-9.14971388992797
4	-6005.578670433681	-6011.331978652412	3.1	-6005.578670433681	-5.7533082187312266
5	-5342.396289270422	-5347.924547563266	2.4	-5342.396289270422	-5.528258292844081
6	-5303.656352174066	-5307.374015081002	2.4	-5303.656352174066	-3.717662906935604
7	-5303.522059205745	-5309.665450421973	2.5	-5303.522059205745	-6.143391216228773
8	-5298.462126944656	-5305.116493221223	2.7	-5298.462126944656	-6.65436627656714
9	-5293.317710293109	-5299.287789315676	2.9	-5293.317710293109	-5.970079022566839
10	-5290.646853872304	-5296.051523115592	3.2	-5290.646853872304	-5.404669243288876
11	-5290.517747688701	-5296.285668962446	3.5	-5290.517747688701	-5.767921273744989
12	-5283.605536402701	-5288.621836412519	3.8	-5283.605536402701	-5.016300009818627
13	-5277.154519439701	-5282.040123030961	4.1	-5277.154519439701	-4.885603591259143
14	-5274.480873344189	-5279.533560368373	4.4	-5274.480873344189	-5.052687024184483
15	-5273.849599130346	-5279.371536585601	4.6	-5273.849599130346	-5.521937455254183
16	-5273.460842228981	-5278.470777819483	4.8	-5273.460842228981	-5.00993559050222
17	-5273.3318049176305	-5279.141779385758	5.1	-5273.3318049176305	-5.8099744681274
18	-5273.269250180361	-5277.942193673936	5.3	-5273.269250180361	-4.67294349357489
19	-5271.704931456239	-5280.620101720343	7.2	-5271.704931456239	-8.915170264103695
20	-5271.585115751874	-5276.819270471695	7.6	-5271.585115751874	-5.234154719820818
21	-5271.194416638727	-5276.931525661662	8.0	-5271.194416638727	-5.737109022935413
22	-5270.770132872286	-5276.592079626731	8.4	-5270.770132872286	-5.821946754445242
23	-5270.527988051131	-5275.621097396104	8.8	-5270.527988051131	-5.093109344973647
24	-5270.484311496744	-5275.510084761063	9.2	-5270.484311496744	-5.025773264318932
25	-5270.421951184732	-5277.370534445215	9.5	-5270.421951184732	-6.94858326048235
26	-5270.378040457903	-5275.395635343282	9.9	-5270.378040457903	-5.017594885379149
27	-5270.318844597673	-5275.779902436296	10.3	-5270.318844597673	-5.461057838622948
28	-5270.240306955971	-5275.8353509980925	10.7	-5270.240306955971	-5.595044042120775
29	-5270.166259640326	-5275.791844057051	12.1	-5270.166259640326	-5.6255844167252524
30	-5270.160638774022	-5275.340169563982	12.4	-5270.160638774022	-5.179530789960135
31	-5270.1375015977055	-5275.752462575911	12.8	-5270.1375015977055	-5.614960978205458
32	-5270.121483483055	-5275.77347297932	13.2	-5270.121483483055	-5.6519894962648
33	-5270.1180306499255	-5275.5816776921	13.6	-5270.1180306499255	-5.463647042174623
34	-5270.117587613435	-5275.571298257382	13.9	-5270.117587613435	-5.453710643947913
35	-5270.115781096843	-5275.522608376809	14.3	-5270.115781096843	-5.406827279965734
36	-5270.115675000003	-5275.471979037026	14.7	-5270.115675000003	-5.35630403702388
37	-5270.115220727174	-5275.492802834228	15.0	-5270.115220727174	-5.377582107054325
