Sample	posterior	ESS(posterior)	likelihood	prior
0	-7176.2725682233995	N	-7174.958820311512	-1.3137479118879138
1000	-5369.717148347963	2.0	-5368.263849846162	-1.4532985018013318
2000	-5369.923104901095	3.0	-5368.599805193017	-1.3232997080776765
3000	-5370.880806793266	4.0	-5368.0479444553885	-2.8328623378777653
4000	-5369.572955013294	5.0	-5367.71215854319	-1.8607964701038608
5000	-5372.2302786568	6.0	-5370.390454239361	-1.8398244174386538
6000	-5375.591019255676	7.0	-5373.964027437828	-1.626991817847402
7000	-5369.758751174782	8.0	-5368.308924395486	-1.449826779295873
8000	-5368.937011956521	9.0	-5366.716072873083	-2.220939083437693
9000	-5370.169446522483	9.0	-5368.535977214474	-1.633469308009136
10000	-5370.552657985209	10.0	-5369.091260206462	-1.4613977787476622
11000	-5374.226909243255	11.0	-5371.319141034275	-2.907768208980346
12000	-5370.788280830939	12.0	-5369.105565805085	-1.6827150258542272
13000	-5370.116702306593	13.0	-5368.138926911348	-1.9777753952452546
14000	-5372.245571719657	14.0	-5370.875049789529	-1.3705219301281715
15000	-5372.212847828419	15.0	-5370.636087655017	-1.5767601734025876
16000	-5374.638885330046	16.0	-5373.055740709988	-1.583144620058488
17000	-5371.638913557827	17.0	-5370.454339068627	-1.1845744892009387
18000	-5369.691926919863	18.0	-5368.010126881956	-1.681800037907566
19000	-5369.332720412301	18.0	-5367.237786983243	-2.0949334290582136
20000	-5370.272027891534	19.0	-5368.1171009634845	-2.154926928049272
21000	-5371.648355153547	20.0	-5370.209421735982	-1.438933417564589
22000	-5369.526835060768	21.0	-5367.209337681728	-2.3174973790387825
23000	-5370.341088344546	22.0	-5368.358944240811	-1.9821441037346268
24000	-5373.983657582409	23.0	-5373.037787539479	-0.9458700429302862
25000	-5369.451410226866	24.0	-5367.352156119538	-2.0992541073269884
26000	-5369.825047180187	25.0	-5368.397157990297	-1.4278891898896329
27000	-5369.467263187519	26.0	-5367.891039356773	-1.5762238307457448
28000	-5372.667339905346	27.0	-5371.09944022953	-1.567899675815911
29000	-5369.431042401331	27.0	-5368.1223288913725	-1.3087135099589684
30000	-5368.439828161997	28.0	-5367.170411495074	-1.2694166669224267
31000	-5371.876378699736	29.0	-5368.560759698668	-3.3156190010680575
32000	-5370.474533984319	30.0	-5369.088498101675	-1.3860358826445842
33000	-5372.958438158147	31.0	-5370.728889995125	-2.229548163022028
34000	-5368.994497827979	32.0	-5367.598923405073	-1.3955744229061737
35000	-5372.760529673526	33.0	-5367.875365335353	-4.885164338173397
36000	-5369.588550222793	34.0	-5367.952509106805	-1.6360411159875832
37000	-5370.344606558954	35.0	-5369.045034511793	-1.2995720471611323
38000	-5369.461853284279	36.0	-5368.058357011629	-1.4034962726496443
39000	-5370.307887788875	36.0	-5367.360283840514	-2.947603948360939
40000	-5371.903118402153	37.0	-5369.812738180884	-2.0903802212693545
41000	-5371.770175799444	38.0	-5369.90302653722	-1.8671492622234205
42000	-5371.236818699471	39.0	-5369.050896646876	-2.1859220525945724
43000	-5372.392868079327	40.0	-5370.020881467496	-2.371986611830418
44000	-5372.796653814521	41.0	-5370.391111526106	-2.4055422884150275
45000	-5370.990845235947	42.0	-5368.373764534038	-2.6170807019084386
46000	-5371.845997726515	43.0	-5370.767756692741	-1.0782410337729273
47000	-5371.0132750423545	44.0	-5368.941638441701	-2.0716366006532154
48000	-5371.4210707828215	45.0	-5369.318408604771	-2.102662178050085
49000	-5370.660125578454	45.0	-5369.375615155159	-1.2845104232954183
50000	-5370.879389247665	46.0	-5369.023359135046	-1.856030112619111
51000	-5372.801354634118	47.0	-5371.584288771484	-1.217065862633799
52000	-5374.672498684173	48.0	-5371.487942178479	-3.184556505694097
53000	-5368.69781782535	49.0	-5366.965668887912	-1.732148937437949
54000	-5369.25075883213	50.0	-5367.659864050744	-1.5908947813858663
55000	-5370.703657365735	51.0	-5369.285854097019	-1.4178032687156223
56000	-5368.515234249876	52.0	-5366.889383650145	-1.6258505997314021
57000	-5369.324615006746	53.0	-5367.757916467068	-1.5666985396780784
58000	-5374.24036334224	54.0	-5371.34303514763	-2.8973281946097336
59000	-5372.441843962279	54.0	-5369.883502009158	-2.558341953120361
60000	-5372.737471679181	55.0	-5371.335643654778	-1.4018280244023287
61000	-5371.422755645127	56.0	-5369.3211816996445	-2.1015739454826656
62000	-5374.10435891048	57.0	-5371.5715627569925	-2.532796153487327
63000	-5377.026266242935	52.2	-5376.219913512731	-0.8063527302037863
64000	-5368.70126111928	59.0	-5367.098550061562	-1.6027110577192285
65000	-5369.68142250482	60.0	-5367.8803263787495	-1.8010961260707246
66000	-5371.679468387462	61.0	-5369.7511849035245	-1.92828348393763
67000	-5368.370301771918	62.0	-5366.983051257801	-1.3872505141171754
68000	-5370.6555426886935	63.0	-5369.273257832668	-1.3822848560260184
69000	-5368.732172628835	59.4	-5367.2190751806	-1.513097448234364
70000	-5371.038209905083	60.3	-5369.298731280678	-1.7394786244044562
71000	-5376.637720368321	65.0	-5375.121853297894	-1.5158670704281305
72000	-5372.881101509335	65.0	-5370.647878292703	-2.233223216631368
73000	-5375.471074846176	53.4	-5373.563647523932	-1.9074273222438793
74000	-5370.600179029727	55.5	-5368.876917639544	-1.723261390182238
75000	-5373.235118774022	54.0	-5371.43432176783	-1.8007970061925063
76000	-5369.558171114822	55.6	-5367.774044509949	-1.7841266048723798
77000	-5369.033259737383	56.8	-5366.980972447528	-2.052287289854356
78000	-5374.368298657231	62.5	-5372.354338355041	-2.0139603021898087
79000	-5370.7958010389575	64.7	-5367.9344523559275	-2.8613486830299975
80000	-5371.585094493669	65.3	-5369.31173595331	-2.273358540359098
81000	-5368.69940365527	66.1	-5367.151706480921	-1.5476971743478989
82000	-5368.579595266807	64.7	-5366.732355726865	-1.8472395399425432
83000	-5368.9180735793	61.5	-5367.121936420773	-1.7961371585273216
84000	-5368.163778120227	58.0	-5366.707725490431	-1.4560526297968204
85000	-5369.081764543707	56.0	-5367.399926106113	-1.68183843759507
86000	-5373.7527456290045	60.8	-5370.860878952611	-2.8918666763942227
87000	-5368.529950182162	62.3	-5367.191109163568	-1.3388410185939381
88000	-5369.575321033016	63.1	-5368.086118636755	-1.4892023962610987
89000	-5371.6702475914335	64.8	-5370.597498476303	-1.0727491151299429
90000	-5375.243800965841	67.6	-5372.468273833731	-2.775527132110005
91000	-5374.2112162528165	64.4	-5370.724301603321	-3.4869146494953736
92000	-5372.719890640271	62.3	-5370.280449052861	-2.4394415874102773
93000	-5371.555762557006	62.6	-5368.621358512513	-2.9344040444933492
94000	-5370.7581558871525	63.6	-5368.630089296297	-2.1280665908552416
95000	-5371.678908692047	64.4	-5369.0732588838655	-2.6056498081813197
96000	-5371.745088005405	65.2	-5370.208260953178	-1.5368270522266276
97000	-5370.951292851095	66.0	-5369.187262343043	-1.7640305080517837
98000	-5370.174897909618	66.8	-5367.496674617347	-2.6782232922713716
99000	-5371.54328241186	66.2	-5370.170538880419	-1.3727435314405287
100000	-5374.541819907742	68.2	-5372.531668593988	-2.0101513137546707
101000	-5370.67263411747	69.6	-5369.218342151297	-1.454291966173015
102000	-5371.066411937479	70.5	-5369.8204905108605	-1.2459214266184293
103000	-5368.854836422824	71.0	-5366.815324140032	-2.0395122827911023
104000	-5369.691784345478	70.7	-5367.712601876269	-1.9791824692082267
105000	-5368.9238088411585	69.2	-5366.724620577363	-2.1991882637957847
106000	-5371.592285006927	70.3	-5369.743920235552	-1.8483647713758273
107000	-5371.873555959037	71.5	-5369.6751520645885	-2.1984038944482376
108000	-5372.059618147501	72.0	-5370.872575533791	-1.1870426137106205
109000	-5370.686479917719	71.7	-5369.0561197873985	-1.6303601303209547
110000	-5371.667550063849	72.4	-5369.6778905067595	-1.9896595570898583
111000	-5369.067987631372	73.3	-5366.897192883065	-2.1707947483068013
112000	-5369.1388863127095	73.4	-5367.934431690822	-1.2044546218875563
113000	-5370.781313762284	73.6	-5368.119426476452	-2.661887285832589
114000	-5368.915051361353	73.2	-5367.3477190711255	-1.5673322902272218
115000	-5373.824983136699	76.1	-5371.948340910942	-1.8766422257581155
116000	-5371.186682155578	76.9	-5369.421561160675	-1.7651209949025823
117000	-5373.006826342839	76.4	-5370.2107573221265	-2.796069020712814
118000	-5369.668473164374	78.0	-5368.1091356838115	-1.559337480562235
119000	-5370.026101320682	76.5	-5368.173664247993	-1.8524370726889519
120000	-5370.222015966452	76.6	-5367.986312061348	-2.2357039051041285
121000	-5371.90484538966	77.7	-5370.122062679736	-1.7827827099242752
122000	-5371.781338629672	78.5	-5369.324472988287	-2.456865641384572
123000	-5370.3407299926685	79.6	-5368.42184903901	-1.9188809536579408
124000	-5370.313221411663	80.3	-5368.31168659015	-2.001534821513202
125000	-5370.5087515500245	80.7	-5368.745004700654	-1.763746849370675
126000	-5371.319004646203	81.5	-5369.43410236729	-1.884902278913553
127000	-5371.30335539632	82.3	-5369.633093808711	-1.6702615876083575
128000	-5369.787298960332	83.2	-5367.87559827014	-1.9117006901920655
129000	-5369.92714854775	82.9	-5368.632367321189	-1.29478122656149
130000	-5369.2463627438865	82.4	-5367.411595206196	-1.8347675376908326
131000	-5369.338104756617	81.8	-5367.91915382359	-1.4189509330273449
132000	-5372.76699933134	84.4	-5369.821354803046	-2.945644528293678
133000	-5371.7403895812295	85.2	-5369.95982846839	-1.7805611128400454
134000	-5371.652741095732	85.5	-5369.690427046956	-1.9623140487766815
135000	-5368.9443430286055	87.3	-5367.716243858717	-1.2280991698890205
136000	-5374.26648087444	90.1	-5369.5955778899715	-4.670902984468672
137000	-5369.382422116935	91.5	-5367.389938551062	-1.9924835658729196
138000	-5372.539380101999	91.7	-5370.551735539252	-1.9876445627472736
139000	-5370.357171170715	90.9	-5368.630415252071	-1.7267559186444028
140000	-5374.203372086019	91.6	-5371.9277505069595	-2.2756215790595706
141000	-5372.408638509618	91.5	-5370.464003099781	-1.9446354098368799
142000	-5370.908174284408	92.5	-5368.548726607719	-2.3594476766896872
143000	-5369.693025476971	93.8	-5367.848006712294	-1.845018764677497
144000	-5370.797915556923	94.4	-5369.018075984233	-1.7798395726892995
145000	-5375.128116552341	98.2	-5373.908677722007	-1.2194388303342159
146000	-5369.164125307343	101.6	-5367.1451081591895	-2.0190171481536137
147000	-5373.6594606854405	101.0	-5371.861058586322	-1.7984020991188019
148000	-5370.462900207608	101.9	-5367.423310794006	-3.0395894136014885
149000	-5369.24347391899	104.9	-5367.615087654443	-1.6283862645467964
150000	-5369.407611749171	104.3	-5368.063487702852	-1.3441240463192101
151000	-5369.945351180999	103.7	-5367.47924581935	-2.4661053616490625
152000	-5371.589737046621	104.9	-5370.086008986853	-1.5037280597681693
153000	-5369.775092714448	105.5	-5368.43543469104	-1.3396580234071398
154000	-5369.49523607226	106.0	-5367.69347804451	-1.8017580277496776
155000	-5368.69564088047	104.8	-5367.141611428595	-1.5540294518754285
156000	-5370.574725430631	104.9	-5368.575307779969	-1.9994176506616386
157000	-5371.818235339382	106.3	-5370.469494773803	-1.3487405655796536
158000	-5369.897684686475	107.3	-5367.852185007074	-2.045499679401872
159000	-5370.492675592012	108.7	-5368.925888376954	-1.5667872150577884
160000	-5368.654975548558	108.4	-5367.065905134915	-1.5890704136427267
161000	-5372.034663647808	110.2	-5368.448449074067	-3.5862145737407882
162000	-5372.214678975991	111.6	-5370.457753018575	-1.7569259574152762
163000	-5370.873669149312	112.5	-5369.041353405247	-1.8323157440652293
164000	-5370.098483843298	113.6	-5368.234283812267	-1.8642000310307623
165000	-5375.21778476644	116.9	-5372.783702479457	-2.434082286982885
166000	-5370.6933037032895	118.1	-5367.602628579217	-3.090675124073056
167000	-5369.322146070358	121.5	-5367.522260099333	-1.79988597102504
168000	-5369.372897543662	121.1	-5367.300329064055	-2.0725684796065957
169000	-5370.38794350461	118.7	-5367.31382186453	-3.0741216400802527
170000	-5369.4994173513	118.3	-5367.996363587415	-1.5030537638846315
171000	-5371.03738644459	119.1	-5368.974314926626	-2.0630715179641816
172000	-5374.174990574543	122.1	-5373.53235099828	-0.6426395762632033
173000	-5373.899142626171	120.1	-5371.037482758825	-2.8616598673464617
174000	-5368.855591174477	125.9	-5366.919193111653	-1.9363980628245345
175000	-5370.615901052816	126.8	-5368.275289508965	-2.3406115438512707
176000	-5375.371792317718	132.9	-5374.023579776271	-1.348212541447793
177000	-5368.849606864152	137.4	-5366.733549682482	-2.116057181670017
178000	-5372.009884603029	137.5	-5370.672578221436	-1.337306381592914
179000	-5371.574064823722	137.0	-5368.502418140898	-3.0716466828247215
180000	-5370.623938198429	138.1	-5366.855047446942	-3.7688907514867758
181000	-5372.905407850541	139.0	-5369.259698846116	-3.6457090044247904
182000	-5370.0962318048805	140.5	-5368.65848457333	-1.437747231550957
183000	-5371.2759431581135	141.3	-5369.810246030538	-1.4656971275757016
184000	-5369.2394290806615	141.6	-5367.305560419508	-1.9338686611533222
185000	-5370.902922325956	142.4	-5369.640660796695	-1.2622615292608264
186000	-5371.865592715009	144.0	-5368.537396910107	-3.3281958049018545
187000	-5373.171842769967	144.4	-5371.01788277082	-2.1539599991472027
188000	-5368.585999744545	148.6	-5366.6335082621545	-1.952491482390098
189000	-5372.158287006073	150.4	-5370.731996477834	-1.42629052823861
190000	-5370.465342267991	150.9	-5368.640232530462	-1.8251097375293697
191000	-5369.053095157554	152.3	-5367.815985724885	-1.2371094326686571
192000	-5370.545963771221	152.6	-5367.78569173146	-2.760272039760923
193000	-5370.362098721836	152.7	-5368.259245429194	-2.1028532926422585
194000	-5375.852612272959	157.0	-5374.495750941645	-1.3568613313140343
195000	-5370.308423559797	159.3	-5368.100873088059	-2.2075504717373766
196000	-5370.661250345692	161.0	-5369.184385567088	-1.4768647786039955
197000	-5370.548680318848	161.6	-5368.969419120115	-1.5792611987327192
198000	-5369.720321953877	162.0	-5367.642761440752	-2.077560513125189
199000	-5370.495329174651	161.6	-5367.569045144814	-2.92628402983712
200000	-5368.783972201456	160.5	-5367.085578541439	-1.6983936600176444
