#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment" name="distribution" x="@birthRate.t:twin_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment" id="treeLikelihood.twin_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment">
#            <siteModel id="SiteModel.s:twin_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-7176.2725682233995	-7174.958820311512	-1.3137479118879138	-7174.958820311512	0.31558507940756814	-1.3137479118879138	1.0
1000	-5369.717148347963	-5368.263849846162	-1.4532985018013318	-5368.263849846162	0.919384495909408	-1.4532985018013318	1.857382382737559
2000	-5369.923104901095	-5368.599805193017	-1.3232997080776765	-5368.599805193017	0.836484776740516	-1.3232997080776765	1.6633134074714715
3000	-5370.880806793266	-5368.0479444553885	-2.8328623378777653	-5368.0479444553885	0.9065323050391698	-2.8328623378777653	3.900268432758904
4000	-5369.572955013294	-5367.71215854319	-1.8607964701038608	-5367.71215854319	0.8600791096882282	-1.8607964701038608	1.2327839689335458
5000	-5372.2302786568	-5370.390454239361	-1.8398244174386538	-5370.390454239361	0.9665244234048747	-1.8398244174386538	1.6231747775383427
6000	-5375.591019255676	-5373.964027437828	-1.626991817847402	-5373.964027437828	0.9331577817080725	-1.626991817847402	1.8809379153171122
7000	-5369.758751174782	-5368.308924395486	-1.449826779295873	-5368.308924395486	0.8848377923120592	-1.449826779295873	2.687539264461813
8000	-5368.937011956521	-5366.716072873083	-2.220939083437693	-5366.716072873083	0.9149463454996812	-2.220939083437693	3.3801945473763437
9000	-5370.169446522483	-5368.535977214474	-1.633469308009136	-5368.535977214474	0.9441854368735784	-1.633469308009136	1.7473023685656481
10000	-5370.552657985209	-5369.091260206462	-1.4613977787476622	-5369.091260206462	0.8909894605120608	-1.4613977787476622	1.6528626664569264
11000	-5374.226909243255	-5371.319141034275	-2.907768208980346	-5371.319141034275	0.9758912004658274	-2.907768208980346	3.623351084815016
12000	-5370.788280830939	-5369.105565805085	-1.6827150258542272	-5369.105565805085	0.8411280526668701	-1.6827150258542272	1.2943763603013183
13000	-5370.116702306593	-5368.138926911348	-1.9777753952452546	-5368.138926911348	1.0443874389569092	-1.9777753952452546	1.9430066805316812
14000	-5372.245571719657	-5370.875049789529	-1.3705219301281715	-5370.875049789529	0.8551514258395763	-1.3705219301281715	1.7507767841021458
15000	-5372.212847828419	-5370.636087655017	-1.5767601734025876	-5370.636087655017	0.9188464055076089	-1.5767601734025876	1.7203841455594175
16000	-5374.638885330046	-5373.055740709988	-1.583144620058488	-5373.055740709988	0.7567981859506976	-1.583144620058488	1.2278257318716266
17000	-5371.638913557827	-5370.454339068627	-1.1845744892009387	-5370.454339068627	0.8301168861249469	-1.1845744892009387	1.743986421695249
18000	-5369.691926919863	-5368.010126881956	-1.681800037907566	-5368.010126881956	0.9331503650767637	-1.681800037907566	2.3971849713574027
19000	-5369.332720412301	-5367.237786983243	-2.0949334290582136	-5367.237786983243	0.9509085632105638	-2.0949334290582136	2.9464602616805955
20000	-5370.272027891534	-5368.1171009634845	-2.154926928049272	-5368.1171009634845	0.9593245663031487	-2.154926928049272	3.064401915040126
21000	-5371.648355153547	-5370.209421735982	-1.438933417564589	-5370.209421735982	0.8792070937767695	-1.438933417564589	1.6980743790403936
22000	-5369.526835060768	-5367.209337681728	-2.3174973790387825	-5367.209337681728	0.9474519471023992	-2.3174973790387825	1.1045139549129657
23000	-5370.341088344546	-5368.358944240811	-1.9821441037346268	-5368.358944240811	1.0274580623342995	-1.9821441037346268	1.4569084225799156
24000	-5373.983657582409	-5373.037787539479	-0.9458700429302862	-5373.037787539479	0.818784993908658	-0.9458700429302862	1.9895738133282797
25000	-5369.451410226866	-5367.352156119538	-2.0992541073269884	-5367.352156119538	0.9704983341617913	-2.0992541073269884	2.979349464699174
26000	-5369.825047180187	-5368.397157990297	-1.4278891898896329	-5368.397157990297	0.897199414108615	-1.4278891898896329	2.1720864862508993
27000	-5369.467263187519	-5367.891039356773	-1.5762238307457448	-5367.891039356773	0.9017629039491366	-1.5762238307457448	1.61775379788783
28000	-5372.667339905346	-5371.09944022953	-1.567899675815911	-5371.09944022953	0.9622284890551429	-1.567899675815911	2.1183529003479435
29000	-5369.431042401331	-5368.1223288913725	-1.3087135099589684	-5368.1223288913725	0.8784831843224694	-1.3087135099589684	2.118338034104171
30000	-5368.439828161997	-5367.170411495074	-1.2694166669224267	-5367.170411495074	0.8788434617689999	-1.2694166669224267	2.002832946857019
31000	-5371.876378699736	-5368.560759698668	-3.3156190010680575	-5368.560759698668	0.9361242656804744	-3.3156190010680575	4.121614875519938
32000	-5370.474533984319	-5369.088498101675	-1.3860358826445842	-5369.088498101675	0.8505088608950462	-1.3860358826445842	2.6525971929780585
33000	-5372.958438158147	-5370.728889995125	-2.229548163022028	-5370.728889995125	0.8629421600510839	-2.229548163022028	3.568281895694955
34000	-5368.994497827979	-5367.598923405073	-1.3955744229061737	-5367.598923405073	0.855285708519037	-1.3955744229061737	1.5637957005731087
35000	-5372.760529673526	-5367.875365335353	-4.885164338173397	-5367.875365335353	0.9870829630242782	-4.885164338173397	5.037622370968252
36000	-5369.588550222793	-5367.952509106805	-1.6360411159875832	-5367.952509106805	0.8969421567875421	-1.6360411159875832	2.7321380143307126
37000	-5370.344606558954	-5369.045034511793	-1.2995720471611323	-5369.045034511793	0.8550317642098642	-1.2995720471611323	2.741251806767249
38000	-5369.461853284279	-5368.058357011629	-1.4034962726496443	-5368.058357011629	0.907237522131701	-1.4034962726496443	1.853074343520745
39000	-5370.307887788875	-5367.360283840514	-2.947603948360939	-5367.360283840514	0.9908161156643512	-2.947603948360939	3.531424638451909
40000	-5371.903118402153	-5369.812738180884	-2.0903802212693545	-5369.812738180884	1.035100126120065	-2.0903802212693545	1.4330301937910186
41000	-5371.770175799444	-5369.90302653722	-1.8671492622234205	-5369.90302653722	1.023536371923769	-1.8671492622234205	1.8781251200763913
42000	-5371.236818699471	-5369.050896646876	-2.1859220525945724	-5369.050896646876	1.0862928705826984	-2.1859220525945724	2.2552515072013053
43000	-5372.392868079327	-5370.020881467496	-2.371986611830418	-5370.020881467496	0.9199859167667334	-2.371986611830418	3.628734272019751
44000	-5372.796653814521	-5370.391111526106	-2.4055422884150275	-5370.391111526106	0.8857831134179711	-2.4055422884150275	3.6896366515855914
45000	-5370.990845235947	-5368.373764534038	-2.6170807019084386	-5368.373764534038	1.0968738405310925	-2.6170807019084386	1.1125378799213097
46000	-5371.845997726515	-5370.767756692741	-1.0782410337729273	-5370.767756692741	0.8411292961869008	-1.0782410337729273	2.2110176699652175
