"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-5289.9016935591,6.2621782575362,0.0000014563226703768,7.01113938470181
"2","GTR","relaxed_log_normal","yule",-5300.50217936266,6.40484404886935,3.62681263619463e-11,17.7857931727946
"3","GTR","strict","birth_death",-5303.88135761229,7.42592315063372,1.23585253573822e-12,4.64127121599242
"4","GTR","strict","yule",-5296.98216952194,5.49544037581521,0.000000001225309978461,13.2497843366382
"5","HKY","relaxed_log_normal","birth_death",-5281.55240447565,4.63624445867819,0.00615613006522705,7.82219314708181
"6","HKY","relaxed_log_normal","yule",-5299.50645996727,7.03502735221437,9.81658788686435e-11,6.86157720760584
"7","HKY","strict","birth_death",-5288.48864350531,5.45338817638218,0.00000598325415646268,6.02801375697571
"8","HKY","strict","yule",-5294.19924872084,5.93689907540763,0.000000019808569690746,7.69500990064887
"9","JC69","relaxed_log_normal","birth_death",-5276.48562280587,4.26278660986252,0.97674929654015,4.45187446791507
"10","JC69","relaxed_log_normal","yule",-5280.56260162755,4.27570268790181,0.0165643234379256,7.01274286025812
"11","JC69","strict","birth_death",-5284.12755873458,5.03864370395457,0.000468740525121802,4.87713334481024
"12","TN93","relaxed_log_normal","birth_death",-5289.51026007768,5.81063736377963,0.00000215404618693494,5.43463537009115
"13","TN93","relaxed_log_normal","yule",-5295.60041037732,5.91079133222661,0.0000000048790620584068,16.2643352202871
"14","TN93","strict","birth_death",-5293.20314857322,5.19643510897448,0.0000000536356953446861,12.531609389094
"15","TN93","strict","yule",-5286.32952081295,5.45655377117416,0.0000518361242544653,11.5812819782146
