#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa1.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa2.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin" kappa1="@kappa1.s:alignment_twin" kappa2="@kappa2.s:alignment_twin" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-9257.009293905763	-9249.461136063668	-7.548157842095593	-9249.461136063668	1.627940211982228	2.0	2.0	0.25	0.25	0.25	0.25	-3.817437774147018	1.0
1000	-5296.614861940541	-5289.954134601435	-6.6607273391065815	-5289.954134601435	1.202371331753662	2.0	1.889337508291903	0.23974528220322178	0.25	0.25174807032342844	0.25850664747334984	-2.9747129468721565	1.056738704601152
2000	-5301.178236822945	-5294.196535894165	-6.981700928779716	-5294.196535894165	1.2934388527608163	2.0	0.9524884177848507	0.24511049059229753	0.24463479161092425	0.25174807032342844	0.25850664747334984	-3.671024415312679	0.8156558608808372
3000	-5296.135792480124	-5290.4892080735635	-5.646584406560495	-5290.4892080735635	1.102066128619925	2.0	1.0243392629731605	0.24511049059229753	0.24463479161092425	0.25174807032342844	0.25850664747334984	-2.3103000314185937	2.136852343535743
4000	-5295.7809040535385	-5289.279270579359	-6.501633474179021	-5289.279270579359	1.1506809608353983	2.0	1.610977203137363	0.24511049059229753	0.24463479161092425	0.25174807032342844	0.25850664747334984	-2.9297678781518237	2.479426525426549
5000	-5293.865476493651	-5287.482772008074	-6.382704485576892	-5287.482772008074	1.1211877814647708	2.0	1.1976605517272207	0.24511049059229753	0.24141061030665908	0.25174807032342844	0.261730828777615	-2.979918445199729	2.789604940961406
6000	-5295.338627987252	-5288.156963312825	-7.181664674427123	-5288.156963312825	1.4830229014007978	2.0	1.1976605517272207	0.24511049059229753	0.24141061030665908	0.25174807032342844	0.261730828777615	-3.7788786340499603	0.9088555775880962
7000	-5292.801058726211	-5286.815974706634	-5.985084019576777	-5286.815974706634	1.1206040954703447	2.0	1.1976605517272207	0.24511049059229753	0.24141061030665908	0.25174807032342844	0.261730828777615	-2.582297979199614	1.1982563092701766
8000	-5277.357154528518	-5271.832541335099	-5.524613193417832	-5271.832541335099	1.122309581839725	1.0303185386691494	1.1976605517272207	0.24511049059229753	0.24247447740014166	0.2507403577726727	0.2616746742348882	-2.5140671455297454	2.4094367558077394
9000	-5283.248031465034	-5278.291315226893	-4.95671623814059	-5278.291315226893	1.0399416957952412	1.0303185386691494	0.9567280321886386	0.24511049059229753	0.24933981086388607	0.2415748575531283	0.2639748409906882	-2.0368129269662973	2.007536568604737
10000	-5281.842772312022	-5275.553070939895	-6.289701372126893	-5275.553070939895	1.2437511365032605	1.0303185386691494	0.9567280321886386	0.24511049059229753	0.24933981086388607	0.2415748575531283	0.2639748409906882	-3.3697980609525997	2.7104861771794324
11000	-5283.839814617486	-5275.9143971882095	-7.925417429276875	-5275.9143971882095	1.157761924756433	1.0303185386691494	0.8121055297193827	0.24511049059229753	0.24260985268024934	0.24830481573676502	0.2639748409906882	-5.051279174770146	4.136189961871939
12000	-5280.103435456844	-5274.570740361777	-5.532695095066236	-5274.570740361777	1.1951399668013707	1.0303185386691494	0.9793531562974416	0.24511049059229753	0.24260985268024934	0.24830481573676502	0.2639748409906882	-2.604864353880232	2.0475352641803672
13000	-5278.590842884681	-5273.478300567037	-5.112542317643167	-5273.478300567037	1.1139491649577193	1.0303185386691494	1.044291704685112	0.24511049059229753	0.24260985268024934	0.24830481573676502	0.2639748409906882	-2.1611371594602073	2.041847785959188
14000	-5279.745987971131	-5273.5436221174605	-6.202365853670985	-5273.5436221174605	1.4438301670502467	1.0303185386691494	1.044291704685112	0.24511049059229753	0.24260985268024934	0.2556844882336112	0.25659516849384206	-3.250960695488025	1.5404547703252485
